1620
FAM125A	FAM125A	MissingGeneType
TMEM221	TMEM221	MissingGeneType
NXNL1	NXNL1	MissingGeneType
SLC27A1	SLC27A1	MissingGeneType
PGLS	PGLS	MissingGeneType
FAM129C	FAM129C	MissingGeneType
GLT25D1	GLT25D1	MissingGeneType
UNC13A	UNC13A	MissingGeneType
MAP1S	MAP1S	MissingGeneType
FCHO1	FCHO1	MissingGeneType
B3GNT3	B3GNT3	MissingGeneType
INSL3	INSL3	MissingGeneType
JAK3	JAK3	MissingGeneType
RPL18A	RPL18A	MissingGeneType
SNORA68	SNORA68	MissingGeneType
SLC5A5	SLC5A5	MissingGeneType
CCDC124	CCDC124	MissingGeneType
KCNN1	KCNN1	MissingGeneType
ARRDC2	ARRDC2	MissingGeneType
IL12RB1	IL12RB1	MissingGeneType
MAST3	MAST3	MissingGeneType
PIK3R2	PIK3R2	MissingGeneType
IFI30	IFI30	MissingGeneType
MPV17L2	MPV17L2	MissingGeneType
RAB3A	RAB3A	MissingGeneType
PDE4C	PDE4C	MissingGeneType
LOC729966	LOC729966	MissingGeneType
KIAA1683	KIAA1683	MissingGeneType
JUND	JUND	MissingGeneType
MIR3188	MIR3188	MissingGeneType
LSM4	LSM4	MissingGeneType
PGPEP1	PGPEP1	MissingGeneType
GDF15	GDF15	MissingGeneType
MIR3189	MIR3189	MissingGeneType
LRRC25	LRRC25	MissingGeneType
SSBP4	SSBP4	MissingGeneType
ISYNA1	ISYNA1	MissingGeneType
ELL	ELL	MissingGeneType
FKBP8	FKBP8	MissingGeneType
KXD1	KXD1	MissingGeneType
UBA52	UBA52	MissingGeneType
C19orf60	C19orf60	MissingGeneType
CRLF1	CRLF1	MissingGeneType
TMEM59L	TMEM59L	MissingGeneType
KLHL26	KLHL26	MissingGeneType
CRTC1	CRTC1	MissingGeneType
COMP	COMP	MissingGeneType
UPF1	UPF1	MissingGeneType
GDF1	GDF1	MissingGeneType
CERS1	CERS1	MissingGeneType
COPE	COPE	MissingGeneType
DDX49	DDX49	MissingGeneType
HOMER3	HOMER3	MissingGeneType
SUGP2	SUGP2	MissingGeneType
ARMC6	ARMC6	MissingGeneType
SLC25A42	SLC25A42	MissingGeneType
TMEM161A	TMEM161A	MissingGeneType
MEF2B	MEF2B	MissingGeneType
MEF2BNB-MEF2B	MEF2BNB-MEF2B	MissingGeneType
MEF2BNB	MEF2BNB	MissingGeneType
RFXANK	RFXANK	MissingGeneType
NR2C2AP	NR2C2AP	MissingGeneType
NCAN	NCAN	MissingGeneType
HAPLN4	HAPLN4	MissingGeneType
TM6SF2	TM6SF2	MissingGeneType
SUGP1	SUGP1	MissingGeneType
MAU2	MAU2	MissingGeneType
GATAD2A	GATAD2A	MissingGeneType
TSSK6	TSSK6	MissingGeneType
NDUFA13	NDUFA13	MissingGeneType
YJEFN3	YJEFN3	MissingGeneType
CILP2	CILP2	MissingGeneType
PBX4	PBX4	MissingGeneType
LPAR2	LPAR2	MissingGeneType
GMIP	GMIP	MissingGeneType
ATP13A1	ATP13A1	MissingGeneType
ZNF101	ZNF101	MissingGeneType
ZNF14	ZNF14	MissingGeneType
LOC284440	LOC284440	MissingGeneType
ZNF506	ZNF506	MissingGeneType
ZNF253	ZNF253	MissingGeneType
ZNF93	ZNF93	MissingGeneType
ZNF682	ZNF682	MissingGeneType
ZNF90	ZNF90	MissingGeneType
ZNF486	ZNF486	MissingGeneType
MIR1270-1	MIR1270-1	MissingGeneType
MIR1270-2	MIR1270-2	MissingGeneType
ZNF826P	ZNF826P	MissingGeneType
ZNF737	ZNF737	MissingGeneType
ZNF626	ZNF626	MissingGeneType
ZNF85	ZNF85	MissingGeneType
ZNF430	ZNF430	MissingGeneType
ZNF714	ZNF714	MissingGeneType
ZNF431	ZNF431	MissingGeneType
ZNF708	ZNF708	MissingGeneType
ZNF738	ZNF738	MissingGeneType
ZNF493	ZNF493	MissingGeneType
LOC400680	LOC400680	MissingGeneType
ZNF429	ZNF429	MissingGeneType
ZNF100	ZNF100	MissingGeneType
LOC641367	LOC641367	MissingGeneType
ZNF43	ZNF43	MissingGeneType
ZNF208	ZNF208	MissingGeneType
ZNF257	ZNF257	MissingGeneType
ZNF676	ZNF676	MissingGeneType
